
===== Phase 2 start 2026-06-17 04:14:16 =====
[S2] 3500/11598  rate=4.47s/struct  ETA=10.06hr
[S2] 3600/11598  rate=4.46s/struct  ETA=9.91hr
[S2] 3700/11598  rate=4.46s/struct  ETA=9.79hr
[S2] 3800/11598  rate=4.46s/struct  ETA=9.67hr
[S2] 3900/11598  rate=4.45s/struct  ETA=9.52hr
[S2] 4000/11598  rate=4.45s/struct  ETA=9.39hr
[S2] 4100/11598  rate=4.45s/struct  ETA=9.26hr
[S2] 4200/11598  rate=4.45s/struct  ETA=9.15hr
[S2] 4300/11598  rate=4.45s/struct  ETA=9.02hr
[S2] 4400/11598  rate=4.44s/struct  ETA=8.89hr
[S2] 4500/11598  rate=4.45s/struct  ETA=8.77hr
[S2] 4600/11598  rate=4.44s/struct  ETA=8.62hr
[S2] 4700/11598  rate=4.44s/struct  ETA=8.51hr
[S2] 4800/11598  rate=4.44s/struct  ETA=8.39hr
[S2] 4900/11598  rate=4.43s/struct  ETA=8.25hr
[S2] 5000/11598  rate=4.44s/struct  ETA=8.14hr
[S2] 5100/11598  rate=4.44s/struct  ETA=8.02hr
[S2] 5200/11598  rate=4.44s/struct  ETA=7.89hr
[S2] 5300/11598  rate=4.44s/struct  ETA=7.77hr
[S2] 5400/11598  rate=4.43s/struct  ETA=7.63hr
[S2] 5500/11598  rate=4.44s/struct  ETA=7.51hr
[S2] 5600/11598  rate=4.43s/struct  ETA=7.39hr
[S2] 5700/11598  rate=4.43s/struct  ETA=7.26hr
[S2] 5800/11598  rate=4.43s/struct  ETA=7.13hr
[S2] 5900/11598  rate=4.43s/struct  ETA=7.01hr
[S2] 6000/11598  rate=4.43s/struct  ETA=6.88hr
[S2] 6100/11598  rate=4.42s/struct  ETA=6.75hr
[S2] 6200/11598  rate=4.42s/struct  ETA=6.62hr
[S2] 6300/11598  rate=4.41s/struct  ETA=6.49hr
[S2] 6400/11598  rate=4.41s/struct  ETA=6.37hr
[S2] 6500/11598  rate=4.41s/struct  ETA=6.25hr
[S2] 6600/11598  rate=4.40s/struct  ETA=6.11hr
[S2] 6700/11598  rate=4.40s/struct  ETA=5.98hr
[S2] 6800/11598  rate=4.40s/struct  ETA=5.86hr
[S2] 6900/11598  rate=4.40s/struct  ETA=5.75hr
[S2] 7000/11598  rate=4.41s/struct  ETA=5.63hr
[S2] 7100/11598  rate=4.41s/struct  ETA=5.52hr
[S2] 7200/11598  rate=4.41s/struct  ETA=5.39hr
[S2] 7300/11598  rate=4.42s/struct  ETA=5.27hr
[S2] 7400/11598  rate=4.41s/struct  ETA=5.14hr
[S2] 7500/11598  rate=4.41s/struct  ETA=5.02hr
[S2] 7600/11598  rate=4.41s/struct  ETA=4.89hr
[S2] 7700/11598  rate=4.40s/struct  ETA=4.77hr
[S2] 7800/11598  rate=4.40s/struct  ETA=4.64hr
[S2] 7900/11598  rate=4.40s/struct  ETA=4.52hr
[S2] 8000/11598  rate=4.40s/struct  ETA=4.40hr
[S2] 8100/11598  rate=4.40s/struct  ETA=4.28hr
[S2] 8200/11598  rate=4.41s/struct  ETA=4.16hr
[S2] 8300/11598  rate=4.41s/struct  ETA=4.04hr
[S2] 8400/11598  rate=4.41s/struct  ETA=3.91hr
[S2] 8500/11598  rate=4.41s/struct  ETA=3.79hr
[S2] 8600/11598  rate=4.41s/struct  ETA=3.67hr
[S2] 8700/11598  rate=4.40s/struct  ETA=3.55hr
[S2] 8800/11598  rate=4.40s/struct  ETA=3.42hr
[S2] 8900/11598  rate=4.40s/struct  ETA=3.30hr
[S2] 9000/11598  rate=4.40s/struct  ETA=3.17hr
[S2] 9100/11598  rate=4.40s/struct  ETA=3.05hr
[S2] 9200/11598  rate=4.40s/struct  ETA=2.93hr
[S2] 9300/11598  rate=4.40s/struct  ETA=2.81hr
[S2] 9400/11598  rate=4.39s/struct  ETA=2.68hr
[S2] 9500/11598  rate=4.39s/struct  ETA=2.56hr
[S2] 9600/11598  rate=4.39s/struct  ETA=2.44hr
[S2] 9700/11598  rate=4.39s/struct  ETA=2.31hr
[S2] 9800/11598  rate=4.38s/struct  ETA=2.19hr
[S2] 9900/11598  rate=4.38s/struct  ETA=2.07hr
[S2] 10000/11598  rate=4.38s/struct  ETA=1.94hr
[S2] 10100/11598  rate=4.38s/struct  ETA=1.82hr
[S2] 10200/11598  rate=4.39s/struct  ETA=1.70hr
[S2] 10300/11598  rate=4.39s/struct  ETA=1.58hr
[S2] 10400/11598  rate=4.38s/struct  ETA=1.46hr
[S2] 10500/11598  rate=4.39s/struct  ETA=1.34hr
[S2] 10600/11598  rate=4.39s/struct  ETA=1.22hr
[S2] 10700/11598  rate=4.39s/struct  ETA=1.09hr
[S2] 10800/11598  rate=4.39s/struct  ETA=0.97hr
[S2] 10900/11598  rate=4.40s/struct  ETA=0.85hr
[S2] 11000/11598  rate=4.39s/struct  ETA=0.73hr
[S2] 11100/11598  rate=4.40s/struct  ETA=0.61hr
[S2] 11200/11598  rate=4.40s/struct  ETA=0.49hr
[S2] 11300/11598  rate=4.40s/struct  ETA=0.36hr
[S2] 11400/11598  rate=4.40s/struct  ETA=0.24hr
[S2] 11500/11598  rate=4.39s/struct  ETA=0.12hr
[S3] 1/8281  rate=4.93s/struct  ETA=11.34hr
[S3] 100/8281  rate=4.70s/struct  ETA=10.68hr
[S3] 200/8281  rate=4.88s/struct  ETA=10.95hr
[S3] 300/8281  rate=4.92s/struct  ETA=10.92hr
[S3] 400/8281  rate=4.84s/struct  ETA=10.59hr
[S3] 500/8281  rate=4.76s/struct  ETA=10.28hr
[S3] 600/8281  rate=4.73s/struct  ETA=10.10hr
[S3] 700/8281  rate=4.65s/struct  ETA=9.79hr
[S3] 800/8281  rate=4.64s/struct  ETA=9.65hr
[S3] 900/8281  rate=4.67s/struct  ETA=9.57hr
[S3] 1000/8281  rate=4.66s/struct  ETA=9.42hr
[S3] 1100/8281  rate=4.65s/struct  ETA=9.28hr
[S3] 1200/8281  rate=4.64s/struct  ETA=9.12hr
[S3] 1300/8281  rate=4.63s/struct  ETA=8.99hr
[S3] 1400/8281  rate=4.67s/struct  ETA=8.92hr
[S3] 1500/8281  rate=4.71s/struct  ETA=8.87hr
[S3] 1600/8281  rate=4.73s/struct  ETA=8.77hr
[S3] 1700/8281  rate=4.74s/struct  ETA=8.67hr
[S3] 1800/8281  rate=4.75s/struct  ETA=8.54hr
[S3] 1900/8281  rate=4.71s/struct  ETA=8.35hr
[S3] 2000/8281  rate=4.71s/struct  ETA=8.22hr
[S3] 2100/8281  rate=4.69s/struct  ETA=8.06hr
[S3] 2200/8281  rate=4.68s/struct  ETA=7.91hr
[S3] 2300/8281  rate=4.69s/struct  ETA=7.78hr
[S3] 2400/8281  rate=4.71s/struct  ETA=7.69hr
[S3] 2500/8281  rate=4.73s/struct  ETA=7.59hr
[S3] 2600/8281  rate=4.73s/struct  ETA=7.46hr
[S3] 2700/8281  rate=4.74s/struct  ETA=7.35hr
[S3] 2800/8281  rate=4.71s/struct  ETA=7.17hr
[S3] 2900/8281  rate=4.72s/struct  ETA=7.05hr
[S3] 3000/8281  rate=4.71s/struct  ETA=6.90hr
[S3] 3100/8281  rate=4.72s/struct  ETA=6.79hr
[S3] 3200/8281  rate=4.71s/struct  ETA=6.64hr
[S3] 3300/8281  rate=4.70s/struct  ETA=6.50hr
[S3] 3400/8281  rate=4.69s/struct  ETA=6.37hr
[S3] 3500/8281  rate=4.70s/struct  ETA=6.24hr
[S3] 3600/8281  rate=4.71s/struct  ETA=6.13hr
[S3] 3700/8281  rate=4.70s/struct  ETA=5.98hr
[S3] 3800/8281  rate=4.69s/struct  ETA=5.84hr
[S3] 3900/8281  rate=4.68s/struct  ETA=5.70hr
[S3] 4000/8281  rate=4.68s/struct  ETA=5.57hr
[S3] 4100/8281  rate=4.67s/struct  ETA=5.43hr
[S3] 4200/8281  rate=4.67s/struct  ETA=5.29hr
[S3] 4300/8281  rate=4.67s/struct  ETA=5.16hr
[S3] 4400/8281  rate=4.67s/struct  ETA=5.04hr
[S3] 4500/8281  rate=4.68s/struct  ETA=4.91hr
[S3] 4600/8281  rate=4.69s/struct  ETA=4.80hr
[S3] 4700/8281  rate=4.70s/struct  ETA=4.67hr
[S3] 4800/8281  rate=4.70s/struct  ETA=4.54hr
[S3] 4900/8281  rate=4.69s/struct  ETA=4.40hr
[S3] 5000/8281  rate=4.67s/struct  ETA=4.26hr
[S3] 5100/8281  rate=4.67s/struct  ETA=4.12hr
[S3] 5200/8281  rate=4.67s/struct  ETA=4.00hr
[S3] 5300/8281  rate=4.66s/struct  ETA=3.86hr
[S3] 5400/8281  rate=4.65s/struct  ETA=3.72hr
[S3] 5500/8281  rate=4.66s/struct  ETA=3.60hr
[S3] 5600/8281  rate=4.66s/struct  ETA=3.47hr
[S3] 5700/8281  rate=4.66s/struct  ETA=3.34hr
[S3] 5800/8281  rate=4.67s/struct  ETA=3.22hr
[S3] 5900/8281  rate=4.67s/struct  ETA=3.09hr
[S3] 6000/8281  rate=4.66s/struct  ETA=2.95hr
[S3] 6100/8281  rate=4.66s/struct  ETA=2.83hr
[S3] 6200/8281  rate=4.66s/struct  ETA=2.69hr
[S3] 6300/8281  rate=4.65s/struct  ETA=2.56hr
[S3] 6400/8281  rate=4.65s/struct  ETA=2.43hr
[S3] 6500/8281  rate=4.65s/struct  ETA=2.30hr
[S3] 6600/8281  rate=4.66s/struct  ETA=2.18hr
[S3] 6700/8281  rate=4.67s/struct  ETA=2.05hr
[S3] 6800/8281  rate=4.66s/struct  ETA=1.92hr
[S3] 6900/8281  rate=4.67s/struct  ETA=1.79hr
[S3] 7000/8281  rate=4.66s/struct  ETA=1.66hr
[S3] 7100/8281  rate=4.67s/struct  ETA=1.53hr
[S3] 7200/8281  rate=4.66s/struct  ETA=1.40hr
[S3] 7300/8281  rate=4.66s/struct  ETA=1.27hr
[S3] 7400/8281  rate=4.66s/struct  ETA=1.14hr
[S3] 7500/8281  rate=4.66s/struct  ETA=1.01hr
[S3] 7600/8281  rate=4.67s/struct  ETA=0.88hr
[S3] 7700/8281  rate=4.66s/struct  ETA=0.75hr
[S3] 7800/8281  rate=4.67s/struct  ETA=0.62hr
[S3] 7900/8281  rate=4.67s/struct  ETA=0.49hr
[S3] 8000/8281  rate=4.67s/struct  ETA=0.36hr
[S3] 8100/8281  rate=4.66s/struct  ETA=0.23hr
[S3] 8200/8281  rate=4.66s/struct  ETA=0.10hr
[S3b] 1/3764  rate=4.97s/struct  ETA=5.19hr
[S3b] 100/3764  rate=4.55s/struct  ETA=4.63hr
[S3b] 200/3764  rate=4.53s/struct  ETA=4.48hr
[S3b] 300/3764  rate=4.46s/struct  ETA=4.30hr
[S3b] 400/3764  rate=4.52s/struct  ETA=4.22hr
[S3b] 500/3764  rate=4.58s/struct  ETA=4.15hr
[S3b] 600/3764  rate=4.59s/struct  ETA=4.03hr
[S3b] 700/3764  rate=4.58s/struct  ETA=3.90hr
[S3b] 800/3764  rate=4.56s/struct  ETA=3.76hr
[S3b] 900/3764  rate=4.56s/struct  ETA=3.63hr
[S3b] 1000/3764  rate=4.57s/struct  ETA=3.51hr
[S3b] 1100/3764  rate=4.57s/struct  ETA=3.38hr
[S3b] 1200/3764  rate=4.56s/struct  ETA=3.25hr
[S3b] 1300/3764  rate=4.56s/struct  ETA=3.12hr
[S3b] 1400/3764  rate=4.58s/struct  ETA=3.01hr
