E_MLIP,ads,anchor,anchor_nbr_species,d_CH3O_bond,d_CO,d_C_CO_surf,d_O_CH3_surf,d_anchor_surf,d_reactive,h_C_CO,h_O_CH3,h_anchor,idx,n_O_nbr,n_Pd_nbr,n_sub,natoms,rank,sid,site,site_CH3O,site_CO
-432.0491,coads,C_CO+O_CH3,,1.428,1.188,1.978,2.1,,3.135,1.367,1.501,,3785,,,80,87,2,S1,,br_PdPd,br_PdPd
-432.0489,coads,C_CO+O_CH3,,1.428,1.188,1.972,2.099,,3.922,1.387,1.503,,4132,,,80,87,3,S1,,br_PdPd,br_PdPd
-432.0489,coads,C_CO+O_CH3,,1.428,1.188,1.979,2.103,,3.127,1.357,1.49,,76,,,80,87,4,S1,,br_PdPd,br_PdPd
-601.2283,coads,C_CO+O_CH3,,1.437,1.178,2.006,2.098,,3.33,0.547,0.494,,989,,,112,119,0,S2,,br_PdPd,br_PdPd
-601.2266,coads,C_CO+O_CH3,,1.438,1.177,2.007,2.099,,3.316,0.56,0.49,,3165,,,112,119,1,S2,,br_PdPd,br_PdPd
-601.2249,coads,C_CO+O_CH3,,1.438,1.177,2.008,2.096,,3.309,0.559,0.476,,8300,,,112,119,2,S2,,br_PdPd,br_PdPd
-601.2243,coads,C_CO+O_CH3,,1.438,1.177,2.008,2.099,,3.305,0.557,0.473,,8447,,,112,119,3,S2,,br_PdPd,br_PdPd
-601.2014,coads,C_CO+O_CH3,,1.437,1.178,1.998,2.103,,3.348,0.585,0.497,,471,,,112,119,4,S2,,br_PdPd,br_PdPd
-574.7506,coads,C_CO+O_CH3,,1.436,1.191,1.91,2.071,,5.305,1.185,1.329,,2151,,,104,111,0,S3b,,br_PdPd,br_PdPd
-574.7501,coads,C_CO+O_CH3,,1.438,1.191,1.91,2.09,,5.311,1.159,1.392,,2461,,,104,111,1,S3b,,br_PdPd,br_PdPd
-574.7495,coads,C_CO+O_CH3,,1.438,1.191,1.916,2.105,,5.283,1.184,1.371,,3309,,,104,111,2,S3b,,br_PdPd,br_PdPd
-574.7485,coads,C_CO+O_CH3,,1.437,1.191,1.914,2.064,,5.18,1.259,1.379,,142,,,104,111,3,S3b,,br_PdPd,br_PdPd
-574.748,coads,C_CO+O_CH3,,1.438,1.191,1.918,2.097,,5.249,1.081,1.399,,1220,,,104,111,4,S3b,,br_PdPd,br_PdPd
-713.3246,coads,C_CO+O_CH3,,1.413,1.152,2.461,1.996,,5.404,2.321,1.922,,2408,,,128,135,0,S3,,atop_Pd,atop_Pd
-713.3242,coads,C_CO+O_CH3,,1.414,1.153,2.474,2.002,,5.394,2.345,1.942,,1045,,,128,135,1,S3,,atop_Pd,atop_Pd
-713.3239,coads,C_CO+O_CH3,,1.415,1.152,2.474,2.0,,5.39,2.339,1.941,,3382,,,128,135,2,S3,,atop_Pd,atop_Pd
-713.3237,coads,C_CO+O_CH3,,1.413,1.153,2.458,1.998,,5.398,2.329,1.935,,6637,,,128,135,3,S3,,atop_Pd,atop_Pd
-713.3233,coads,C_CO+O_CH3,,1.414,1.152,2.445,1.999,,5.362,2.313,1.933,,1353,,,128,135,4,S3,,atop_Pd,atop_Pd
