sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S4,CH3O,38,-767.20468,-4.1421,1571029.6,True,135,2.359,atop,"[1.1, 1.11, 1.24, 1.91, 2.01, 2.06, 2.66, 3.57, 4.0, 4.27]"
S4,CH3O,14,-767.203844,-4.1413,1571865.4,True,117,2.5,unknown,"[1.1, 1.11, 1.24, 1.91, 2.02, 2.06, 2.59, 3.54, 3.99, 4.25]"
S4,CH3O,140,-767.203815,-4.1413,1571894.7,True,117,2.192,atop,"[1.1, 1.11, 1.24, 1.91, 2.01, 2.06, 2.6, 3.54, 3.99, 4.25]"
S4,CH3O,203,-767.202343,-4.1398,1573366.3,True,139,0.982,unknown,"[1.1, 1.11, 1.24, 1.91, 2.01, 2.06, 2.62, 3.55, 3.97, 4.28]"
S4,CH3O,173,-764.922384,-1.8598,1574150.6,True,200,0.981,unknown,"[1.1, 1.11, 1.24, 1.91, 2.02, 2.06, 2.56, 3.54, 3.95, 4.3]"
S4,CH3O,343,-764.458634,-1.3961,1597526.0,True,200,0.984,unknown,"[1.11, 1.11, 1.24, 1.93, 2.0, 2.02, 2.05, 3.14, 3.5, 4.04]"
S4,CH3O,296,-767.032823,-3.9703,1742886.8,True,155,0.986,unknown,"[1.12, 1.14, 1.22, 1.93, 2.04, 2.06, 2.2, 2.88, 2.9, 3.99]"
S4,CH3O,374,-767.019218,-3.9567,1756491.2,True,115,0.98,unknown,"[1.11, 1.11, 1.24, 1.91, 2.02, 2.05, 2.24, 2.85, 3.28, 3.5]"
S4,CH3O,185,-767.01151,-3.949,1764199.8,True,189,0.982,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 3.36, 4.35, 4.65, 5.24]"
S4,CH3O,238,-767.011244,-3.9487,1764466.0,True,110,0.98,unknown,"[1.11, 1.11, 1.24, 1.91, 2.03, 2.05, 2.26, 2.8, 3.15, 3.48]"
S4,CH3O,109,-767.009852,-3.9473,1765857.2,True,108,0.98,unknown,"[1.11, 1.11, 1.24, 1.91, 2.03, 2.05, 2.26, 2.8, 3.14, 3.49]"
