sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S4,CH3O,10,-764.920502,-1.858,3855207.1,True,82,2.497,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,136,-764.920359,-1.8578,3855351.0,True,81,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.09]"
S4,CH3O,337,-764.918609,-1.8561,3857101.0,True,81,1.982,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,349,-764.918342,-1.8558,3857367.5,True,81,1.982,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.09, 2.09]"
S4,CH3O,41,-764.91833,-1.8558,3857379.1,True,103,1.98,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.82, 2.0, 2.09, 2.09]"
S4,CH3O,298,-764.913935,-1.8514,3861774.5,True,111,1.977,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,106,-764.910249,-1.8477,3865460.2,True,89,1.979,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.81, 2.0, 2.1, 2.1]"
S4,CH3O,183,-764.909692,-1.8471,3866017.9,True,105,1.981,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.09, 2.09]"
S4,CH3O,309,-764.909308,-1.8468,3866401.4,True,56,1.98,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.82, 2.0, 2.09, 2.1]"
S4,CH3O,372,-764.908933,-1.8464,3866776.8,True,53,1.982,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.09]"
S4,CH3O,77,-764.905643,-1.8431,3870066.2,True,113,1.983,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.1, 2.1]"
S4,CH3O,220,-764.904939,-1.8424,3870770.3,True,53,1.983,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.81, 2.01, 2.09, 2.1]"
S4,CH3O,162,-764.904447,-1.8419,3871262.2,True,93,1.98,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.09, 2.1]"
S4,CH3O,151,-764.904255,-1.8417,3871454.3,True,81,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,248,-764.904179,-1.8416,3871530.2,True,89,1.983,unknown,"[1.11, 1.11, 1.11, 1.41, 1.79, 1.81, 1.83, 2.0, 2.1, 2.1]"
S4,CH3O,232,-764.904037,-1.8415,3871672.1,True,83,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,160,-764.902698,-1.8402,3873011.2,True,87,1.982,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.09, 2.09]"
S4,CH3O,2,-764.902394,-1.8398,3873316.0,True,84,2.713,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,373,-764.901671,-1.8391,3874038.9,True,53,1.983,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.08, 2.09]"
S4,CH3O,365,-764.898882,-1.8363,3876827.4,True,95,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.81, 2.01, 2.1, 2.1]"
S4,CH3O,362,-764.89734,-1.8348,3878369.3,True,89,1.979,unknown,"[1.11, 1.11, 1.11, 1.42, 1.8, 1.81, 1.81, 2.0, 2.1, 2.1]"
S4,CH3O,213,-764.896361,-1.8338,3879348.1,True,64,1.986,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.01, 2.08, 2.1]"
S4,CH3O,115,-764.896354,-1.8338,3879355.4,True,76,1.98,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.1, 2.1]"
S4,CH3O,219,-764.896016,-1.8335,3879693.4,True,73,1.979,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.82, 2.01, 2.09, 2.09]"
S4,CH3O,379,-764.895921,-1.8334,3879788.7,True,88,1.983,unknown,"[1.11, 1.11, 1.11, 1.42, 1.8, 1.81, 1.82, 2.0, 2.1, 2.11]"
S4,CH3O,59,-764.89591,-1.8334,3879799.8,True,95,2.56,atop,"[1.11, 1.11, 1.11, 1.41, 1.79, 1.81, 1.82, 2.0, 2.1, 2.11]"
S4,CH3O,11,-764.89573,-1.8332,3879979.3,True,66,2.704,unknown,"[1.11, 1.11, 1.14, 1.4, 1.79, 1.82, 1.84, 2.02, 2.09, 2.1]"
S4,CH3O,315,-764.895389,-1.8328,3880320.3,True,82,1.981,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.08, 2.1]"
S4,CH3O,1,-767.258794,-4.1962,3880648.9,True,200,2.737,bridge,"[1.11, 1.12, 1.13, 1.39, 1.81, 1.82, 1.83, 2.01, 2.07, 2.11]"
S4,CH3O,63,-764.894815,-1.8323,3880894.6,True,86,1.982,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,164,-764.894437,-1.8319,3881273.0,True,74,1.979,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.01, 2.09, 2.1]"
S4,CH3O,289,-764.894253,-1.8317,3881456.4,True,82,1.979,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.09, 2.1]"
S4,CH3O,61,-764.893932,-1.8314,3881777.6,True,72,1.983,unknown,"[1.11, 1.11, 1.11, 1.4, 1.8, 1.81, 1.81, 2.01, 2.09, 2.1]"
S4,CH3O,263,-764.893804,-1.8313,3881905.9,True,66,1.988,unknown,"[1.11, 1.11, 1.13, 1.41, 1.8, 1.82, 1.84, 2.02, 2.09, 2.1]"
S4,CH3O,168,-764.893752,-1.8312,3881957.4,True,72,1.984,unknown,"[1.11, 1.11, 1.11, 1.4, 1.8, 1.81, 1.82, 2.01, 2.09, 2.1]"
S4,CH3O,202,-764.893643,-1.8311,3882066.6,True,80,1.98,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.01, 2.08, 2.1]"
S4,CH3O,333,-764.893109,-1.8306,3882600.6,True,72,1.98,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.82, 2.01, 2.09, 2.1]"
S4,CH3O,187,-764.892972,-1.8304,3882737.0,True,77,1.984,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.08, 2.1]"
S4,CH3O,334,-764.892882,-1.8303,3882827.8,True,58,1.98,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,23,-764.892861,-1.8303,3882848.4,True,66,2.706,unknown,"[1.11, 1.11, 1.12, 1.41, 1.8, 1.82, 1.83, 2.02, 2.09, 2.1]"
S4,CH3O,137,-764.892718,-1.8302,3882991.9,True,66,1.986,unknown,"[1.11, 1.11, 1.12, 1.41, 1.8, 1.81, 1.83, 2.01, 2.09, 2.1]"
S4,CH3O,242,-764.892607,-1.8301,3883102.8,True,55,1.977,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.82, 1.82, 2.0, 2.09, 2.09]"
S4,CH3O,6,-764.89234,-1.8298,3883369.9,True,55,2.613,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.08, 2.1]"
S4,CH3O,204,-764.892129,-1.8296,3883580.3,True,80,1.98,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.0, 2.08, 2.09]"
S4,CH3O,3,-764.891484,-1.8289,3884226.0,True,55,2.608,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.82, 2.0, 2.08, 2.1]"
S4,CH3O,275,-764.891159,-1.8286,3884550.1,True,66,1.986,unknown,"[1.11, 1.11, 1.12, 1.41, 1.8, 1.81, 1.83, 2.02, 2.09, 2.1]"
S4,CH3O,285,-764.891103,-1.8286,3884606.3,True,75,1.986,unknown,"[1.11, 1.11, 1.12, 1.4, 1.81, 1.81, 1.82, 2.01, 2.07, 2.1]"
S4,CH3O,113,-764.890512,-1.828,3885197.6,True,83,1.982,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,36,-764.890258,-1.8277,3885451.9,True,75,2.609,atop,"[1.11, 1.11, 1.12, 1.4, 1.81, 1.82, 1.82, 2.01, 2.07, 2.1]"
S4,CH3O,255,-764.890228,-1.8277,3885481.2,True,54,1.984,unknown,"[1.11, 1.11, 1.12, 1.4, 1.81, 1.82, 1.82, 2.0, 2.07, 2.1]"
S4,CH3O,378,-764.88969,-1.8271,3886019.2,True,60,1.982,unknown,"[1.11, 1.11, 1.12, 1.41, 1.8, 1.81, 1.82, 2.01, 2.09, 2.1]"
S4,CH3O,110,-764.889675,-1.8271,3886034.5,True,82,1.982,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,339,-764.8894,-1.8269,3886310.0,True,56,1.986,unknown,"[1.11, 1.11, 1.11, 1.4, 1.8, 1.81, 1.82, 2.01, 2.09, 2.09]"
S4,CH3O,351,-764.889224,-1.8267,3886485.1,True,58,1.984,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.82, 2.01, 2.09, 2.09]"
S4,CH3O,312,-764.888159,-1.8256,3887550.1,True,76,1.984,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.09, 2.09]"
S4,CH3O,290,-764.887549,-1.825,3888160.4,True,88,1.979,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.09]"
S4,CH3O,114,-764.887202,-1.8247,3888507.0,True,56,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.82, 2.01, 2.09, 2.11]"
S4,CH3O,231,-764.886839,-1.8243,3888870.7,True,54,1.984,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.82, 1.82, 2.0, 2.07, 2.1]"
S4,CH3O,87,-764.886745,-1.8242,3888965.0,True,56,1.985,unknown,"[1.11, 1.11, 1.11, 1.4, 1.81, 1.81, 1.81, 2.01, 2.09, 2.09]"
S4,CH3O,186,-764.886357,-1.8238,3889352.9,True,66,1.897,unknown,"[1.11, 1.11, 1.13, 1.39, 1.81, 1.82, 1.83, 2.01, 2.06, 2.1]"
S4,CH3O,273,-764.886196,-1.8236,3889513.9,True,55,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.79, 1.82, 1.82, 2.0, 2.1, 2.11]"
S4,CH3O,33,-764.885843,-1.8233,3889866.7,True,71,2.632,atop,"[1.11, 1.11, 1.12, 1.39, 1.81, 1.82, 1.83, 2.0, 2.07, 2.09]"
S4,CH3O,126,-764.885207,-1.8227,3890502.6,True,70,1.982,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.82, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,331,-764.884944,-1.8224,3890765.1,True,92,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.09, 2.09]"
S4,CH3O,252,-764.884698,-1.8222,3891011.3,True,69,1.982,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.82, 1.82, 2.0, 2.1, 2.1]"
S4,CH3O,42,-764.884558,-1.822,3891151.9,True,65,1.986,unknown,"[1.11, 1.11, 1.12, 1.39, 1.81, 1.82, 1.83, 2.01, 2.06, 2.1]"
S4,CH3O,0,-764.884304,-1.8218,3891405.8,True,84,2.458,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.82, 1.82, 2.01, 2.1, 2.11]"
S4,CH3O,370,-764.883908,-1.8214,3891801.4,True,81,1.986,unknown,"[1.11, 1.11, 1.12, 1.41, 1.8, 1.81, 1.82, 2.01, 2.09, 2.1]"
S4,CH3O,371,-764.883518,-1.821,3892191.8,True,95,1.986,unknown,"[1.11, 1.11, 1.12, 1.41, 1.78, 1.81, 1.83, 2.01, 2.1, 2.1]"
S4,CH3O,247,-764.883161,-1.8206,3892548.1,True,81,1.987,unknown,"[1.11, 1.11, 1.12, 1.41, 1.8, 1.82, 1.83, 2.02, 2.09, 2.1]"
S4,CH3O,350,-764.882095,-1.8195,3893614.3,True,67,1.984,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,276,-764.881732,-1.8192,3893977.9,True,85,1.981,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.09, 2.1]"
S4,CH3O,24,-764.881685,-1.8191,3894025.0,True,84,2.652,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.01, 2.1, 2.1]"
S4,CH3O,159,-764.881574,-1.819,3894135.9,True,66,1.985,unknown,"[1.11, 1.11, 1.12, 1.4, 1.81, 1.82, 1.82, 2.01, 2.07, 2.1]"
S4,CH3O,292,-764.881239,-1.8187,3894470.5,True,78,1.985,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.82, 1.83, 2.01, 2.1, 2.1]"
S4,CH3O,147,-764.880014,-1.8175,3895695.2,True,64,1.984,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.82, 1.82, 2.0, 2.1, 2.11]"
S4,CH3O,222,-764.876843,-1.8143,3898866.4,True,63,1.984,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.81, 1.82, 2.0, 2.1, 2.11]"
S4,CH3O,138,-764.875891,-1.8133,3899818.3,True,81,1.977,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.1, 2.1]"
S4,CH3O,264,-764.875453,-1.8129,3900256.7,True,81,1.977,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,121,-764.874992,-1.8124,3900717.2,True,95,1.984,unknown,"[1.11, 1.11, 1.11, 1.41, 1.78, 1.81, 1.82, 2.0, 2.1, 2.11]"
S4,CH3O,217,-764.901494,-1.8389,3907351.6,True,200,1.549,unknown,"[1.11, 1.11, 1.19, 1.35, 1.78, 1.85, 1.88, 1.98, 2.08, 2.1]"
S4,CH3O,279,-764.887562,-1.825,3987032.8,True,200,1.093,unknown,"[1.12, 1.18, 1.32, 1.86, 2.15, 2.25, 2.51, 2.86, 3.0, 4.04]"
S4,CH3O,28,-767.250586,-4.188,3994771.8,True,200,2.552,unknown,"[1.11, 1.12, 1.12, 1.41, 1.8, 1.83, 1.83, 2.02, 2.1, 2.1]"
S4,CH3O,145,-764.762093,-1.6995,4013616.1,True,59,2.002,unknown,"[1.11, 1.11, 1.11, 1.4, 1.78, 1.82, 1.82, 2.0, 2.09, 2.09]"
S4,CH3O,352,-764.76009,-1.6975,4015619.2,True,58,2.001,unknown,"[1.11, 1.11, 1.11, 1.4, 1.78, 1.82, 1.82, 2.0, 2.09, 2.1]"
S4,CH3O,340,-764.759903,-1.6974,4015806.2,True,59,2.001,unknown,"[1.11, 1.11, 1.11, 1.39, 1.78, 1.82, 1.82, 2.0, 2.09, 2.09]"
S4,CH3O,355,-764.441084,-1.3785,4033051.7,True,200,2.012,unknown,"[1.09, 1.12, 1.12, 1.42, 1.79, 1.81, 1.81, 2.02, 2.09, 2.12]"
S4,CH3O,249,-764.569434,-1.5069,4206275.9,True,97,1.431,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.02, 2.1, 2.1]"
S4,CH3O,92,-766.872871,-3.8103,4264919.3,True,200,1.547,unknown,"[1.12, 1.13, 1.22, 1.9, 2.04, 2.06, 2.12, 2.86, 3.02, 3.87]"
S4,CH3O,15,-767.25375,-4.1912,4293624.9,True,200,1.557,unknown,"[1.13, 1.13, 1.23, 1.89, 2.07, 2.08, 2.76, 2.92, 3.08, 4.07]"
S4,CH3O,27,-767.250884,-4.1883,4302193.3,True,200,1.514,unknown,"[1.12, 1.12, 1.23, 1.9, 2.06, 2.06, 2.66, 2.77, 3.0, 4.04]"
S4,CH3O,363,-764.429613,-1.3671,4314948.0,True,200,1.55,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.72, 2.8, 2.84, 3.48]"
S4,CH3O,67,-764.458634,-1.3961,4317075.9,True,99,2.524,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.29, 2.58, 2.61, 3.57]"
S4,CH3O,319,-764.45775,-1.3952,4317959.1,True,99,1.543,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.28, 2.59, 2.6, 3.53]"
S4,CH3O,301,-764.456464,-1.3939,4319245.6,True,94,1.543,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.29, 2.56, 2.61, 3.56]"
S4,CH3O,172,-764.922512,-1.86,4323393.8,True,200,1.563,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.25, 2.46, 2.73, 3.93]"
S4,CH3O,344,-764.45775,-1.3952,4324624.2,True,200,1.549,unknown,"[1.12, 1.13, 1.22, 1.9, 2.04, 2.05, 2.26, 2.4, 2.66, 3.82]"
S4,CH3O,74,-764.44921,-1.3867,4326499.3,True,95,2.867,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.22, 2.56, 2.71, 3.39]"
S4,CH3O,326,-764.448585,-1.386,4327124.8,True,96,2.354,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.22, 2.58, 2.74, 3.42]"
S4,CH3O,200,-764.448033,-1.3855,4327676.5,True,96,2.428,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.2, 2.52, 2.63, 3.37]"
S4,CH3O,56,-764.447296,-1.3847,4328413.8,True,94,2.551,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.2, 2.52, 2.61, 3.4]"
S4,CH3O,307,-764.444949,-1.3824,4330760.0,True,99,1.543,unknown,"[1.12, 1.13, 1.22, 1.91, 2.05, 2.05, 2.27, 2.42, 2.58, 3.63]"
S4,CH3O,181,-764.444132,-1.3816,4331577.1,True,98,1.542,unknown,"[1.12, 1.13, 1.22, 1.91, 2.05, 2.05, 2.27, 2.41, 2.58, 3.62]"
S4,CH3O,196,-764.441256,-1.3787,4334453.2,True,95,1.54,unknown,"[1.12, 1.13, 1.22, 1.91, 2.05, 2.06, 2.26, 2.54, 2.63, 3.37]"
S4,CH3O,230,-764.441084,-1.3785,4334625.5,True,104,2.376,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.29, 2.32, 2.62, 3.76]"
S4,CH3O,228,-764.89573,-1.8332,4335549.3,True,200,2.102,unknown,"[1.13, 1.13, 1.23, 1.91, 2.05, 2.07, 2.47, 2.49, 2.74, 3.79]"
S4,CH3O,104,-764.439069,-1.3765,4336640.6,True,95,2.452,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.28, 2.32, 2.61, 3.75]"
S4,CH3O,323,-764.437383,-1.3748,4338326.7,True,92,1.541,unknown,"[1.12, 1.13, 1.22, 1.91, 2.05, 2.06, 2.26, 2.52, 2.63, 3.34]"
S4,CH3O,356,-764.437238,-1.3747,4338471.2,True,144,2.391,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.22, 2.3, 2.55, 3.67]"
S4,CH3O,70,-764.437057,-1.3745,4338652.6,True,91,2.55,unknown,"[1.12, 1.13, 1.22, 1.91, 2.05, 2.06, 2.26, 2.5, 2.59, 3.33]"
S4,CH3O,52,-764.435737,-1.3732,4339972.6,True,96,2.536,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.15, 2.55, 2.8, 3.36]"
S4,CH3O,342,-764.469563,-1.407,4342747.6,False,600,1.559,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.31, 2.55, 2.65, 3.66]"
S4,CH3O,64,-764.429613,-1.3671,4346096.5,True,111,1.54,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.29, 2.5, 2.67, 3.76]"
S4,CH3O,216,-764.901671,-1.8391,4352640.2,True,200,1.548,unknown,"[1.12, 1.13, 1.22, 1.9, 2.05, 2.05, 2.25, 2.55, 2.64, 3.66]"
S4,CH3O,354,-764.441256,-1.3787,4353395.6,True,200,2.079,unknown,"[1.13, 1.13, 1.22, 1.91, 2.05, 2.06, 2.37, 2.56, 2.67, 3.65]"
S4,CH3O,90,-766.878662,-3.8161,4361376.1,True,200,1.55,unknown,"[1.12, 1.12, 1.23, 1.9, 2.05, 2.06, 2.18, 2.53, 2.59, 3.63]"
S4,CH3O,116,-764.364089,-1.3015,4411620.7,True,42,1.979,unknown,"[1.11, 1.11, 1.11, 1.41, 1.81, 1.81, 1.81, 2.0, 2.1, 2.1]"
S4,CH3O,118,-764.336645,-1.2741,4439064.1,True,21,1.428,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.0, 2.11, 2.12]"
S4,CH3O,251,-764.329324,-1.2668,4446385.2,True,24,1.42,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.01, 2.11, 2.11]"
S4,CH3O,123,-764.328175,-1.2656,4447534.9,True,34,1.424,unknown,"[1.1, 1.1, 1.1, 1.45, 1.82, 1.82, 1.82, 2.01, 2.1, 2.11]"
S4,CH3O,46,-763.891269,-0.8287,4884440.8,True,55,1.509,unknown,"[1.1, 1.1, 1.11, 1.45, 1.8, 1.81, 1.84, 1.98, 2.11, 2.12]"
S4,CH3O,58,-763.889953,-0.8274,4885756.1,True,69,1.505,unknown,"[1.1, 1.1, 1.11, 1.45, 1.8, 1.81, 1.85, 1.98, 2.1, 2.12]"
S4,CH3O,291,-763.8882,-0.8257,4887509.9,True,69,1.505,unknown,"[1.1, 1.1, 1.11, 1.45, 1.81, 1.81, 1.85, 1.98, 2.1, 2.12]"
S4,CH3O,311,-763.884176,-0.8216,4891533.2,True,56,1.512,unknown,"[1.1, 1.1, 1.11, 1.45, 1.81, 1.81, 1.84, 1.97, 2.11, 2.12]"
S4,CH3O,299,-763.883786,-0.8212,4891923.8,True,83,1.549,unknown,"[1.1, 1.1, 1.11, 1.45, 1.82, 1.83, 1.83, 1.97, 2.11, 2.11]"
S4,CH3O,57,-763.882742,-0.8202,4892967.2,True,64,1.504,unknown,"[1.1, 1.1, 1.1, 1.45, 1.8, 1.81, 1.84, 1.98, 2.1, 2.11]"
S4,CH3O,171,-763.861105,-0.7986,4914604.6,True,78,1.541,unknown,"[1.1, 1.1, 1.1, 1.45, 1.82, 1.82, 1.82, 1.96, 2.12, 2.12]"
S4,CH3O,367,-763.850133,-0.7876,4925576.6,True,86,1.544,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.34, 2.36, 2.48, 3.38]"
S4,CH3O,32,-767.24779,-4.1852,4963182.0,True,200,1.969,unknown,"[1.12, 1.14, 1.15, 1.34, 1.8, 1.82, 1.86, 2.03, 2.07, 2.09]"
S4,CH3O,293,-763.770556,-0.708,5005154.0,True,86,1.513,unknown,"[1.1, 1.1, 1.11, 1.45, 1.8, 1.81, 1.81, 1.97, 2.14, 2.14]"
S4,CH3O,190,-763.744699,-0.6822,5031010.5,True,52,1.512,unknown,"[1.1, 1.1, 1.11, 1.45, 1.81, 1.81, 1.81, 1.97, 2.13, 2.14]"
S4,CH3O,360,-763.01195,0.0506,5763759.0,True,33,2.417,unknown,"[1.12, 1.13, 1.13, 1.34, 1.8, 1.81, 1.82, 2.04, 2.05, 2.07]"
S4,CH3O,108,-763.011792,0.0508,5763917.7,True,33,2.414,unknown,"[1.12, 1.13, 1.13, 1.34, 1.81, 1.81, 1.82, 2.03, 2.05, 2.07]"
S4,CH3O,111,-763.011596,0.051,5764113.7,True,33,2.414,unknown,"[1.12, 1.13, 1.13, 1.34, 1.8, 1.81, 1.82, 2.03, 2.05, 2.07]"
