sid,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,d_reactive_A,distance_bin,fingerprint
S2,2340,-600.744332,-2.2781,921.2,True,103,2.02,5.385,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.2, 4.3, 5.2, 5.3, 5.4, 5.6, 5.7, 5.8, 5.9, 5.9]"
S2,4699,-600.74425,-2.278,921.2,True,70,1.9,2.873,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.2, 3.9, 4.1, 4.1, 4.2, 4.8, 4.8, 4.9, 4.9]"
S2,567,-600.744138,-2.2779,921.4,True,90,1.903,2.929,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 3.9, 4.1, 4.2, 4.2, 4.8, 4.9, 4.9, 5.0]"
S2,3697,-600.743752,-2.2775,921.7,True,65,1.9,3.507,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.5, 3.5, 3.6, 3.8, 4.0, 4.1, 4.5, 4.8, 4.9]"
S2,4,-600.743494,-2.2773,922.0,True,78,1.9,3.199,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 4.3, 4.3, 4.4, 4.5, 4.5, 4.7, 5.3, 5.4]"
S2,10773,-600.743358,-2.2772,922.1,True,107,1.902,3.255,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.5, 4.2, 4.3, 4.3, 4.3, 4.3, 4.5, 5.2, 5.4]"
S2,8120,-600.74319,-2.277,922.3,True,121,1.901,3.2,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 4.1, 4.2, 4.2, 4.3, 4.4, 4.4, 5.2, 5.3]"
S2,8922,-600.743042,-2.2768,922.4,True,93,1.901,3.092,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.5, 3.6, 3.6, 3.9, 4.1, 4.6, 4.7, 4.9, 4.9]"
S2,7412,-600.742935,-2.2767,922.6,True,73,1.901,3.592,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.4, 3.6, 3.7, 3.9, 3.9, 4.0, 4.1, 4.7, 5.0]"
S2,564,-600.742767,-2.2766,922.7,True,91,1.902,2.925,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 4.0, 4.2, 4.2, 4.3, 4.8, 4.9, 5.0, 5.0]"
S2,1861,-600.742376,-2.2762,923.1,True,108,1.901,3.219,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.5, 4.1, 4.3, 4.3, 4.4, 4.4, 4.5, 5.2, 5.3]"
S2,8323,-600.74208,-2.2759,923.4,True,111,2.019,5.429,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.2, 4.3, 5.3, 5.3, 5.4, 5.7, 5.8, 5.8, 5.9, 5.9]"
S2,2391,-600.74161,-2.2754,923.9,True,67,1.901,2.86,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.2, 3.8, 4.0, 4.1, 4.2, 4.7, 4.8, 4.9, 4.9]"
S2,7897,-600.741391,-2.2752,924.1,True,104,2.019,5.428,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.2, 4.3, 5.2, 5.3, 5.4, 5.7, 5.8, 5.8, 5.9, 5.9]"
S2,11114,-600.741039,-2.2748,924.5,True,104,2.019,5.372,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.1, 4.3, 5.2, 5.2, 5.4, 5.6, 5.7, 5.7, 5.8, 5.9]"
S2,3716,-600.741005,-2.2748,924.5,True,102,1.902,3.241,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.5, 4.2, 4.3, 4.3, 4.3, 4.4, 4.4, 5.2, 5.3]"
S2,1830,-600.741003,-2.2748,924.5,True,56,2.017,4.475,separated,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.5, 3.6, 3.7, 3.9, 4.0, 4.2, 4.5, 4.7, 5.0, 5.2]"
S2,5594,-600.740895,-2.2747,924.6,True,91,1.898,3.364,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.6, 3.8, 3.9, 4.1, 4.2, 4.3, 4.6, 5.1, 5.2]"
